GLON GLAT VLSR a b pa d_VLSR p_far cos_pa sin_pa aa bb f_avg Seq
18.8680 -0.2900 63.1000 0.0040 0.0026 226 2.4419 -0.5 -0.6946583704589973 -0.7193398003386512 1.6256576003086423e-05 7.0224999999999976e-06 0 3300
18.8750 -0.5190 66.3000 0.0081 0.0032 143 1.7708 -0.5 -0.7986355100472929 0.6018150231520482 6.603819637345677e-05 1.0186736111111113e-05 0 3302
18.8890 -0.4810 65.5000 0.0095 0.0062 181 3.0000 -0.5 -0.9998476951563913 -0.017452406437283192 8.93025e-05 3.844e-05 0 3303
18.8890 -0.2960 63.7000 0.0022 0.0019 198 1.9215 -0.5 -0.9510565162951536 -0.3090169943749473 4.6884278549382714e-06 3.6470389660493825e-06 1 3304
18.8970 0.0390 49.2000 0.0072 0.0048 144 2.2182 -0.5 -0.8090169943749473 0.5877852522924732 5.230102044753086e-05 2.2933456790123453e-05 0 3305
18.8920 0.5100 57.2000 0.0021 0.0015 209 0.8430 -0.5 -0.8746197071393959 -0.48480962024633695 4.56890625e-06 2.151111111111111e-06 0 3306
18.9180 -0.5160 66.6000 0.0018 0.0014 123 1.9215 -0.5 -0.5446390350150271 0.838670567945424 3.1852334104938273e-06 1.826251929012346e-06 1 3310
18.9240 -0.0710 47.1000 0.0026 0.0015 107 0.6994 -0.5 -0.29237170472273666 0.9563047559630355 6.963734567901235e-06 2.317160493827161e-06 0 3312
18.9220 0.0800 45.5000 0.0031 0.0025 181 0.5440 -0.5 -0.9998476951563913 -0.017452406437283192 9.756946373456788e-06 6.063906249999999e-06 0 3314
18.9540 0.0410 49.0000 0.0046 0.0026 256 1.9215 -0.5 -0.2419218955996678 -0.9702957262759965 2.116e-05 6.616327160493828e-06 1 3320
18.9710 0.0520 47.5000 0.0035 0.0026 203 1.9215 -0.5 -0.9205048534524404 -0.39073112848927355 1.234741512345679e-05 6.609184027777778e-06 1 3324
18.9730 -0.4030 25.6000 0.0039 0.0029 260 1.9215 -0.5 -0.17364817766693033 -0.984807753012208 1.555864197530864e-05 8.53938271604938e-06 1 3325
19.0000 -0.2370 64.2000 0.0021 0.0016 259 1.9215 -0.5 -0.19080899537654547 -0.9816271834476639 4.5986419753086425e-06 2.555557484567901e-06 1 3330
19.0090 -0.3140 62.8000 0.0034 0.0023 234 1.9215 -0.5 -0.5877852522924732 -0.8090169943749473 1.181640625e-05 5.4509278549382705e-06 1 3334
19.0450 -0.4410 56.7000 0.0052 0.0038 177 1.5330 -0.5 -0.9986295347545738 0.05233595624294425 2.6895748456790132e-05 1.4145956790123456e-05 0 3335
19.0440 -0.5570 48.4000 0.0027 0.0019 95 1.9215 -0.5 -0.08715574274765801 0.9961946980917455 7.044600694444445e-06 3.4948225308641983e-06 1 3338
19.0560 -0.0530 47.9000 0.0028 0.0013 191 1.9215 -0.5 -0.981627183447664 -0.19080899537654475 8.075069444444445e-06 1.6433815586419754e-06 1 3339
19.0600 -0.2080 63.0000 0.0059 0.0042 139 1.9192 -0.5 -0.754709580222772 0.6560590289905073 3.469537229938271e-05 1.754679012345679e-05 0 3341
19.0740 -0.4280 56.8000 0.0041 0.0025 190 1.9215 -0.5 -0.9848077530122081 -0.17364817766693003 1.6458798225308643e-05 6.347600308641975e-06 1 3343
19.0740 -0.2380 65.8000 0.0070 0.0054 139 0.8407 -0.5 -0.754709580222772 0.6560590289905073 4.8437733410493826e-05 2.9010192901234572e-05 0 3344
19.0780 -0.2860 66.7000 0.0072 0.0055 230 2.5079 -0.5 -0.6427876096865396 -0.7660444431189779 5.1301406250000005e-05 3.066390625e-05 0 3345
19.2810 -0.3850 53.4000 0.0048 0.0043 222 1.9215 -0.5 -0.7431448254773942 -0.6691306063588582 2.312006944444444e-05 1.876574266975309e-05 1 3376
19.2900 0.0780 26.7000 0.0043 0.0034 115 1.6225 -0.5 -0.42261826174069933 0.90630778703665 1.831126736111111e-05 1.19025e-05 0 3378
19.3080 -0.3830 45.0000 0.0040 0.0028 137 1.3187 -0.5 -0.7313537016191705 0.6819983600624985 1.6089012345679012e-05 7.84e-06 0 3380
19.3080 0.0650 27.1000 0.0042 0.0031 91 1.6484 -0.5 -0.017452406437283473 0.9998476951563913 1.787410493827161e-05 9.43854938271605e-06 0 3381
19.4040 -0.1760 59.2000 0.0027 0.0022 118 1.4788 -0.5 -0.46947156278589053 0.8829475928589271 7.440771604938272e-06 4.6884278549382714e-06 0 3390
19.4050 -0.1930 59.2000 0.0038 0.0023 198 1.9215 -0.5 -0.9510565162951536 -0.3090169943749473 1.4125069444444443e-05 5.08753086419753e-06 1 3391
19.4910 -0.1960 39.4000 0.0059 0.0035 172 4.7167 0.5 -0.9902680687415703 0.13917310096006574 3.4434076003086416e-05 1.1921674382716049e-05 0 3400
19.5080 -0.4490 63.3000 0.0034 0.0022 269 1.0126 -0.5 -0.017452406437283498 -0.9998476951563913 1.162620563271605e-05 4.803402777777777e-06 0 3403
19.5360 -0.4550 63.7000 0.0068 0.0035 204 1.7002 -0.5 -0.9135454576426009 -0.4067366430758002 4.65048225308642e-05 1.2357177854938271e-05 0 3409
19.6120 -0.1350 57.1000 0.0056 0.0028 262 4.0126 0.5 -0.13917310096006583 -0.9902680687415703 3.1080625000000004e-05 7.980625e-06 0 3413
19.6100 -0.2340 41.2000 0.0041 0.0033 154 5.4844 0.5 -0.8987940462991668 0.4383711467890777 1.6571684027777777e-05 1.115745563271605e-05 0 3414
19.6130 -0.2610 42.6000 0.0051 0.0041 155 1.9215 0.5 -0.9063077870366499 0.4226182617406995 2.5713350694444444e-05 1.6901234567901235e-05 1 3415
19.6850 -0.1300 56.9000 0.0050 0.0029 158 1.7520 0.5 -0.9271838545667873 0.37460659341591224 2.4902872299382713e-05 8.604444444444444e-06 0 3420
19.6960 -0.1760 55.7000 0.0019 0.0011 187 1.4671 0.5 -0.9925461516413221 -0.12186934340514731 3.710974151234567e-06 1.3065760030864198e-06 0 3421
19.7880 -0.4460 68.6000 0.0021 0.0011 249 1.9215 -0.5 -0.3583679495453007 -0.9335804264972016 4.574845679012346e-06 1.234567901234568e-06 1 3431
19.8080 -0.4260 67.8000 0.0022 0.0013 191 1.9215 -0.5 -0.981627183447664 -0.19080899537654475 4.6225e-06 1.711736111111111e-06 1 3433
19.8080 -0.4520 67.7000 0.0053 0.0034 229 0.7747 -0.5 -0.6560590289905074 -0.7547095802227719 2.8104724151234573e-05 1.1231807484567899e-05 0 3434
19.8240 -0.4190 69.9000 0.0031 0.0018 178 1.7920 -0.5 -0.9993908270190958 0.03489949670250114 9.765625000000002e-06 3.3968537808641973e-06 0 3436
19.8870 -0.5340 44.2000 0.0045 0.0031 269 2.3195 -0.5 -0.017452406437283498 -0.9998476951563913 2.0262501929012337e-05 9.412964891975309e-06 0 3439
19.8980 -0.4380 71.2000 0.0039 0.0033 142 1.4459 -0.5 -0.7880107536067219 0.6156614753256584 1.5015624999999999e-05 1.1138906250000001e-05 0 3441
19.9080 -0.2370 65.8000 0.0039 0.0025 96 1.0762 -0.5 -0.10452846326765333 0.9945218953682734 1.5199168595679011e-05 6.146267361111112e-06 0 3442
19.9170 -0.2030 63.3000 0.0046 0.0029 182 1.9215 -0.5 -0.9993908270190958 -0.03489949670250089 2.1480650077160486e-05 8.217777777777778e-06 1 3443
19.9250 -0.2960 69.7000 0.0031 0.0015 96 1.0338 -0.5 -0.10452846326765333 0.9945218953682734 9.404444444444442e-06 2.2375173611111108e-06 0 3444
19.9280 -0.2580 64.6000 0.0046 0.0033 171 2.4514 -0.5 -0.9876883405951377 0.15643446504023098 2.1467777777777777e-05 1.0725624999999998e-05 0 3445
19.9300 -0.3110 69.7000 0.0023 0.0015 119 1.9215 -0.5 -0.48480962024633695 0.8746197071393959 5.169307484567902e-06 2.3002777777777774e-06 1 3446
19.9720 -0.1050 68.0000 0.0029 0.0021 190 1.9215 -0.5 -0.9848077530122081 -0.17364817766693003 8.170069444444442e-06 4.346066743827161e-06 1 3448
20.0840 -0.1340 41.1000 0.0052 0.0044 162 4.7567 0.5 -0.9510565162951535 0.3090169943749475 2.717015625e-05 1.9740742669753082e-05 0 3456
20.0830 -0.1070 42.8000 0.0029 0.0009 205 1.9215 0.5 -0.90630778703665 -0.4226182617406993 8.612594521604938e-06 7.607716049382716e-07 1 3457
20.3660 -0.0120 52.7000 0.0030 0.0025 191 1.9215 0.5 -0.981627183447664 -0.19080899537654475 9.26018711419753e-06 6.354600694444444e-06 1 3468
20.4280 -0.4020 44.6000 0.0028 0.0022 222 1.9215 -0.5 -0.7431448254773942 -0.6691306063588582 7.957100694444443e-06 4.706489197530864e-06 1 3471
20.4360 -0.4150 44.6000 0.0025 0.0019 180 1.9215 -0.5 -1.0 1.2246467991473532e-16 6.029753086419753e-06 3.4276408179012347e-06 1 3472
20.4370 -0.0300 76.0000 0.0033 0.0029 213 2.7834 0.5 -0.838670567945424 -0.5446390350150271 1.080765625e-05 8.281604938271604e-06 0 3475
20.5430 -0.1670 51.0000 0.0030 0.0026 242 1.3328 -0.5 -0.46947156278589075 -0.882947592858927 9.26018711419753e-06 6.5949093364197516e-06 0 3480
20.5480 -0.4450 67.7000 0.0036 0.0031 259 1.5189 -0.5 -0.19080899537654547 -0.9816271834476639 1.2950001929012346e-05 9.353402777777778e-06 0 3481
20.5610 -0.4500 67.1000 0.0017 0.0014 206 1.9215 -0.5 -0.8987940462991669 -0.43837114678907746 2.9041840277777773e-06 1.9483506944444445e-06 1 3482
20.6410 -0.1280 57.2000 0.0046 0.0021 210 2.0981 0.5 -0.8660254037844388 -0.4999999999999998 2.071514081790124e-05 4.3750694444444445e-06 0 3484
20.6610 -0.1410 57.2000 0.0054 0.0027 170 2.5738 0.5 -0.9848077530122081 0.17364817766693025 2.8890625000000006e-05 7.509122299382715e-06 0 3485
20.6690 -0.4010 56.2000 0.0021 0.0015 181 1.9215 -0.5 -0.9998476951563913 -0.017452406437283192 4.213896604938271e-06 2.36390625e-06 1 3486
20.6720 -0.1570 54.6000 0.0036 0.0034 142 2.8635 0.5 -0.7880107536067219 0.6156614753256584 1.283032600308642e-05 1.1222500000000001e-05 0 3487
20.7140 -0.3420 62.5000 0.0040 0.0027 151 1.9215 -0.5 -0.8746197071393957 0.48480962024633717 1.575648919753086e-05 7.081512345679012e-06 1 3490
20.7230 -0.3660 62.5000 0.0058 0.0051 206 1.0502 -0.5 -0.8987940462991669 -0.43837114678907746 3.415753086419752e-05 2.5939214891975308e-05 0 3492
20.7300 -0.0650 55.3000 0.0062 0.0040 115 3.0071 0.5 -0.42261826174069933 0.90630778703665 3.8285156249999996e-05 1.624537808641975e-05 0 3496
20.7490 -0.0930 58.6000 0.0051 0.0035 268 2.6209 0.5 -0.034899496702500754 -0.9993908270190958 2.5868526234567898e-05 1.2104600694444445e-05 0 3498
20.7600 -0.1250 55.1000 0.0035 0.0022 153 3.2167 0.5 -0.8910065241883678 0.45399049973954686 1.1912085262345682e-05 4.956807484567901e-06 0 3500
20.7630 -0.0630 57.5000 0.0018 0.0016 194 1.9215 0.5 -0.9702957262759965 -0.2419218955996675 3.2350019290123456e-06 2.6632426697530867e-06 1 3501
20.7730 0.4980 30.7000 0.0026 0.0018 175 1.9215 -0.5 -0.9961946980917455 0.0871557427476582 6.5949093364197516e-06 3.3866222993827157e-06 1 3504
20.8950 -0.1780 57.7000 0.0043 0.0037 136 2.3195 0.5 -0.719339800338651 0.6946583704589975 1.8825956790123455e-05 1.3546489197530863e-05 0 3509
20.9670 -0.0740 30.9000 0.0037 0.0025 169 1.9215 0.5 -0.981627183447664 0.19080899537654497 1.3690000000000001e-05 6.173844521604939e-06 1 3511
21.0050 -0.0550 31.3000 0.0029 0.0018 175 1.7473 0.5 -0.9961946980917455 0.0871557427476582 8.637067901234567e-06 3.1309336419753092e-06 0 3514
21.0220 -0.0610 31.3000 0.0026 0.0013 192 1.9215 0.5 -0.9781476007338056 -0.2079116908177595 6.781684027777777e-06 1.770378086419753e-06 1 3515
21.0780 0.2590 26.4000 0.0023 0.0018 91 1.9215 -0.5 -0.017452406437283473 0.9998476951563913 5.075007716049382e-06 3.170378086419753e-06 1 3518
21.0990 0.1530 54.2000 0.0027 0.0019 136 1.9215 -0.5 -0.719339800338651 0.6946583704589975 7.49390625e-06 3.5052160493827166e-06 1 3519
21.1300 -0.2890 35.1000 0.0019 0.0017 137 1.9215 0.5 -0.7313537016191705 0.6819983600624985 3.599452160493827e-06 2.7639062500000004e-06 1 3520
21.1380 -0.3020 35.1000 0.0021 0.0017 243 1.9215 0.5 -0.4539904997395469 -0.8910065241883678 4.497934027777777e-06 2.8102797067901236e-06 1 3521
21.1690 -0.1080 66.6000 0.0022 0.0017 194 1.9215 -0.5 -0.9702957262759965 -0.2419218955996675 4.8828722993827165e-06 2.908919753086419e-06 1 3523
21.1980 -0.1300 65.5000 0.0060 0.0028 216 1.9215 -0.5 -0.8090169943749475 -0.587785252292473 3.610006944444445e-05 7.623734567901233e-06 1 3526
21.2330 -0.3480 33.7000 0.0029 0.0013 200 1.9215 -0.5 -0.9396926207859084 -0.34202014332566866 8.313611111111113e-06 1.6220852623456788e-06 1 3529
21.3590 -0.1770 91.2000 0.0031 0.0022 224 0.8548 -0.5 -0.7193398003386511 -0.6946583704589974 9.774307484567903e-06 4.634452160493827e-06 0 3537
21.3770 -0.2280 90.7000 0.0045 0.0035 123 1.8250 -0.5 -0.5446390350150271 0.838670567945424 2.0262501929012337e-05 1.2318150077160493e-05 0 3538
21.3860 -0.2530 91.5000 0.0034 0.0027 201 2.1759 -0.5 -0.9335804264972016 -0.35836794954530043 1.1446944444444444e-05 7.088906250000002e-06 0 3539
21.4080 -0.2520 91.4000 0.0022 0.0017 211 1.9215 -0.5 -0.8571673007021123 -0.5150380749100542 4.8828722993827165e-06 2.8429706790123457e-06 1 3541
21.4200 -0.5380 55.1000 0.0063 0.0042 168 1.5471 -0.5 -0.9781476007338056 0.20791169081775973 3.986519290123457e-05 1.7944637345679017e-05 0 3543
21.4540 -0.2620 113.0000 0.0036 0.0022 153 1.9215 0.5 -0.8910065241883678 0.45399049973954686 1.2870156249999996e-05 4.634452160493827e-06 1 3544
21.5160 0.2450 76.5000 0.0020 0.0018 242 1.9215 0.5 -0.46947156278589075 -0.882947592858927 4.111882716049382e-06 3.101512345679012e-06 1 3548
21.5630 -0.1330 120.3000 0.0049 0.0028 196 1.8650 0.5 -0.9612616959383189 -0.275637355816999 2.3711489197530863e-05 7.980625e-06 0 3555
21.5960 -0.1520 120.2000 0.0062 0.0023 246 0.8831 0.5 -0.4067366430758009 -0.9135454576426006 3.821643711419752e-05 5.386267361111112e-06 0 3556
21.8450 -0.2930 80.1000 0.0051 0.0021 160 2.2606 -0.5 -0.9396926207859083 0.3420201433256689 2.5896790123456795e-05 4.580788966049383e-06 0 3577
21.9060 -0.3370 82.6000 0.0025 0.0021 245 1.9215 0.5 -0.4226182617406991 -0.9063077870366502 6.382640817901236e-06 4.386697530864197e-06 0 3587
21.9220 -0.3250 82.1000 0.0023 0.0020 159 1.3258 0.5 -0.9335804264972016 0.35836794954530066 5.399168595679013e-06 4.12315586419753e-06 0 3589
22.0090 0.3580 49.9000 0.0036 0.0034 198 0.7959 -0.5 -0.9510565162951536 -0.3090169943749473 1.3191020447530862e-05 1.15505574845679e-05 0 3597
22.0140 -0.1540 95.0000 0.0033 0.0022 267 1.9215 -0.5 -0.052335956242944306 -0.9986295347545738 1.0789400077160492e-05 4.821684027777778e-06 1 3599
22.0580 0.1850 51.3000 0.0044 0.0030 267 1.0267 -0.5 -0.052335956242944306 -0.9986295347545738 1.9104184027777777e-05 9.26018711419753e-06 0 3604
22.0860 0.4920 49.5000 0.0028 0.0023 163 0.9843 -0.5 -0.9563047559630354 0.292371704722737 7.731489197530865e-06 5.392716049382715e-06 0 3606
22.1270 -0.1010 63.6000 0.0026 0.0019 207 3.1908 -0.5 -0.8910065241883679 -0.4539904997395467 6.985742669753086e-06 3.721684027777778e-06 0 3608
22.1870 0.0080 92.4000 0.0024 0.0022 175 1.9215 -0.5 -0.9961946980917455 0.0871557427476582 5.975308641975311e-06 5.0188445216049375e-06 1 3615
22.2530 0.0340 83.0000 0.0028 0.0021 187 1.3046 -0.5 -0.9925461516413221 -0.12186934340514731 7.94143711419753e-06 4.580788966049383e-06 0 3620
22.3180 0.0570 81.3000 0.0062 0.0043 111 1.1915 -0.5 -0.35836794954530027 0.9335804264972017 3.787376736111112e-05 1.860963734567901e-05 0 3627
22.3540 0.0710 84.2000 0.0038 0.0030 123 1.5801 -0.5 -0.5446390350150271 0.838670567945424 1.479043402777778e-05 8.925156250000001e-06 0 3632
22.3580 0.4070 83.9000 0.0034 0.0027 201 1.9215 -0.5 -0.9335804264972016 -0.35836794954530043 1.1607270447530865e-05 7.365192901234569e-06 1 3633
22.3690 0.3780 84.0000 0.0067 0.0040 227 1.6060 -0.5 -0.6819983600624986 -0.7313537016191705 4.450001736111111e-05 1.5800625e-05 0 3635
22.3770 0.4470 52.3000 0.0040 0.0034 174 1.7732 -0.5 -0.9945218953682734 0.1045284632676533 1.570140625e-05 1.187376736111111e-05 0 3637
22.4530 0.5030 60.6000 0.0029 0.0020 146 1.9215 -0.5 -0.8290375725550416 0.5591929034707469 8.1225e-06 3.88966049382716e-06 1 3649
22.4650 -0.4100 40.2000 0.0034 0.0027 90 1.9215 -0.5 6.123233995736766e-17 1.0 1.1854631558641976e-05 7.440771604938272e-06 1 3652
22.4710 0.3490 84.7000 0.0035 0.0023 157 1.0926 -0.5 -0.9205048534524404 0.39073112848927377 1.24648225308642e-05 5.175624999999998e-06 0 3653
22.4690 -0.2220 76.0000 0.0042 0.0028 168 1.0573 -0.5 -0.9781476007338056 0.20791169081775973 1.7511900077160498e-05 7.824452160493827e-06 0 3654
22.4820 -0.3940 39.6000 0.0041 0.0021 164 2.0817 -0.5 -0.9612616959383189 0.2756373558169992 1.6662270447530863e-05 4.409999999999999e-06 0 3655
22.4990 -0.2010 76.0000 0.0059 0.0037 106 1.4247 -0.5 -0.27563735581699905 0.9612616959383189 3.4271267361111106e-05 1.3373242669753082e-05 0 3657
22.5160 0.3250 58.7000 0.0026 0.0022 157 1.9215 -0.5 -0.9205048534524404 0.39073112848927377 6.637779706790123e-06 4.809492669753085e-06 1 3660
22.5310 -0.1890 76.0000 0.0060 0.0027 217 2.4113 -0.5 -0.7986355100472928 -0.6018150231520484 3.568402970679012e-05 7.51673611111111e-06 0 3664
22.5490 -0.5210 76.3000 0.0043 0.0034 173 1.3234 -0.5 -0.992546151641322 0.12186934340514755 1.831126736111111e-05 1.1362517361111111e-05 0 3667
22.5690 -0.2170 78.1000 0.0074 0.0035 213 1.9215 -0.5 -0.838670567945424 -0.5446390350150271 5.488340277777778e-05 1.2425625e-05 1 3668
22.5950 0.0130 70.1000 0.0041 0.0024 157 1.9215 -0.5 -0.9205048534524404 0.39073112848927377 1.688981674382716e-05 5.927872299382716e-06 1 3672
22.6350 0.1060 81.9000 0.0049 0.0028 109 1.9215 -0.5 -0.32556815445715664 0.9455185755993168 2.4064475308641975e-05 7.824452160493827e-06 1 3678
22.6400 -0.4650 77.1000 0.0047 0.0032 172 1.9215 -0.5 -0.9902680687415703 0.13917310096006574 2.1907600308641977e-05 1.047241512345679e-05 1 3679
22.6500 0.1280 74.4000 0.0034 0.0021 147 1.9215 -0.5 -0.8386705679454242 0.5446390350150269 1.1702100694444442e-05 4.392517361111111e-06 1 3681
22.6670 -0.4580 76.8000 0.0033 0.0019 152 1.9215 -0.5 -0.882947592858927 0.4694715627858907 1.0835069444444444e-05 3.541714891975309e-06 1 3685
22.6900 -0.4570 77.8000 0.0057 0.0045 146 1.1845 -0.5 -0.8290375725550416 0.5591929034707469 3.230027777777778e-05 2.013765625e-05 0 3686
22.7050 0.4030 116.8000 0.0051 0.0025 181 1.5448 -0.5 -0.9998476951563913 -0.017452406437283192 2.6222934027777777e-05 6.431859567901236e-06 0 3687
22.7260 -0.0100 36.9000 0.0030 0.0024 267 1.4223 0.5 -0.052335956242944306 -0.9986295347545738 8.883711419753087e-06 5.982100694444444e-06 0 3690
22.7380 -0.4670 77.8000 0.0050 0.0034 244 1.9215 -0.5 -0.43837114678907774 -0.8987940462991668 2.480593364197531e-05 1.1371882716049383e-05 1 3695
22.7610 -0.4780 67.5000 0.0046 0.0036 255 11.9790 -0.5 -0.25881904510252063 -0.9659258262890683 2.116e-05 1.3030094521604936e-05 0 3700
22.7650 -0.5030 62.4000 0.0048 0.0026 207 1.9215 -0.5 -0.8910065241883679 -0.4539904997395467 2.292015625e-05 6.7383506944444465e-06 1 3702
22.7920 -0.4880 61.1000 0.0040 0.0035 142 2.1123 -0.5 -0.7880107536067219 0.6156614753256584 1.624537808641975e-05 1.2143288966049384e-05 0 3705
22.8350 -0.4140 73.9000 0.0036 0.0026 262 2.4584 -0.5 -0.13917310096006583 -0.9902680687415703 1.3170850694444442e-05 6.971066743827161e-06 0 3710
22.8480 -0.4650 63.4000 0.0039 0.0021 143 1.9215 -0.5 -0.7986355100472929 0.6018150231520482 1.550390625e-05 4.4158352623456804e-06 1 3712
22.8720 -0.4070 75.4000 0.0057 0.0036 197 3.6947 -0.5 -0.9563047559630354 -0.2923717047227368 3.263265625000001e-05 1.3302229938271605e-05 0 3716
22.8730 -0.4370 76.2000 0.0050 0.0025 111 1.9215 -0.5 -0.35836794954530027 0.9335804264972017 2.5334444444444445e-05 6.410742669753086e-06 1 3718
22.9020 -0.4630 76.6000 0.0060 0.0031 150 1.7214 -0.5 -0.8660254037844385 0.5000000000000003 3.608338155864197e-05 9.870069444444444e-06 0 3724
22.9100 -0.2850 72.8000 0.0017 0.0013 155 1.9215 -0.5 -0.9063077870366499 0.4226182617406995 2.8570389660493825e-06 1.7519463734567901e-06 1 3726
22.9250 -0.1690 65.5000 0.0040 0.0024 182 1.9215 -0.5 -0.9993908270190958 -0.03489949670250089 1.5657409336419753e-05 5.786697530864198e-06 1 3728
22.9600 -0.1580 64.4000 0.0062 0.0027 219 1.9215 -0.5 -0.7771459614569711 -0.6293203910498373 3.85779012345679e-05 7.320030864197532e-06 1 3734
22.9540 -0.1000 65.4000 0.0024 0.0017 153 1.6696 -0.5 -0.8910065241883678 0.45399049973954686 5.894104938271605e-06 2.7777777777777775e-06 0 3736
22.9550 -0.1120 65.4000 0.0026 0.0015 153 1.9215 -0.5 -0.8910065241883678 0.45399049973954686 6.580650077160492e-06 2.2541685956790126e-06 1 3738
22.9780 -0.3760 73.6000 0.0045 0.0032 175 2.9647 -0.5 -0.9961946980917455 0.0871557427476582 2.0437934027777777e-05 1.0508402777777776e-05 0 3741
23.0110 -0.4060 77.2000 0.0075 0.0067 159 2.6657 -0.5 -0.9335804264972016 0.35836794954530066 5.652115933641975e-05 4.424097415123457e-05 0 3748
23.0290 -0.1000 103.6000 0.0039 0.0026 140 1.9215 -0.5 -0.7660444431189779 0.6427876096865395 1.5438350694444445e-05 6.60204475308642e-06 1 3752
23.0300 0.0130 74.0000 0.0034 0.0024 179 1.9215 0.5 -0.9998476951563913 0.017452406437283435 1.1664122299382717e-05 5.934637345679012e-06 1 3753
23.0510 0.2930 75.9000 0.0067 0.0055 228 1.9215 -0.5 -0.6691306063588585 -0.743144825477394 4.5262993827160495e-05 3.0188919753086426e-05 1 3757
23.0520 0.3160 77.0000 0.0034 0.0026 232 1.9215 0.5 -0.6156614753256582 -0.788010753606722 1.1465748456790122e-05 6.9198225308641985e-06 1 3759
23.0620 -0.4280 77.4000 0.0052 0.0031 204 1.9215 -0.5 -0.9135454576426009 -0.4067366430758002 2.698225308641975e-05 9.6531037808642e-06 1 3761
23.0650 0.2560 74.5000 0.0035 0.0021 100 1.9215 -0.5 -0.1736481776669303 0.984807753012208 1.2211141975308643e-05 4.574845679012346e-06 1 3762
23.0760 -0.2050 82.9000 0.0029 0.0025 106 1.9215 -0.5 -0.27563735581699905 0.9612616959383189 8.426118827160492e-06 6.0570679012345675e-06 1 3769
23.0800 0.2370 75.0000 0.0025 0.0016 267 1.9215 -0.5 -0.052335956242944306 -0.9986295347545738 6.42481674382716e-06 2.5378260030864203e-06 1 3772
23.0930 -0.4250 75.7000 0.0049 0.0042 130 1.9215 -0.5 -0.6427876096865393 0.7660444431189781 2.365741512345679e-05 1.7651668595679015e-05 1 3773
23.0830 -0.3980 78.4000 0.0070 0.0035 148 2.4231 -0.5 -0.848048096156426 0.5299192642332049 4.8902826003086425e-05 1.2592640817901236e-05 0 3775
23.0940 -0.0710 69.9000 0.0062 0.0046 189 1.9215 -0.5 -0.9876883405951378 -0.15643446504023076 3.78225e-05 2.0981489197530857e-05 1 3776
23.1060 -0.0880 70.3000 0.0026 0.0017 202 1.9215 -0.5 -0.9271838545667874 -0.374606593415912 6.85421489197531e-06 3.0140817901234566e-06 1 3777
23.1140 -0.3870 71.3000 0.0022 0.0011 243 1.9215 -0.5 -0.4539904997395469 -0.8910065241883678 4.803402777777777e-06 1.1496604938271606e-06 1 3778
23.1210 -0.4480 61.5000 0.0055 0.0029 208 2.2653 -0.5 -0.8829475928589269 -0.46947156278589086 2.9763086419753087e-05 8.201859567901235e-06 0 3782
23.1250 -0.1560 65.9000 0.0032 0.0021 127 1.9215 -0.5 -0.601815023152048 0.798635510047293 1.0239999999999999e-05 4.480277777777779e-06 1 3785
23.1370 -0.4750 56.7000 0.0036 0.0026 176 1.9780 -0.5 -0.9975640502598242 0.06975647374412552 1.2632100694444445e-05 6.623474151234568e-06 0 3787
23.1910 -0.3540 78.2000 0.0035 0.0033 206 1.9215 -0.5 -0.8987940462991669 -0.43837114678907746 1.2094938271604937e-05 1.0880835262345679e-05 1 3794
23.1990 0.0010 77.9000 0.0082 0.0070 210 1.7167 -0.5 -0.8660254037844388 -0.4999999999999998 6.705790123456791e-05 4.863125192901234e-05 0 3795
23.2150 -0.3770 76.2000 0.0078 0.0043 166 2.5738 -0.5 -0.9702957262759965 0.24192189559966773 6.11437114197531e-05 1.8597656250000002e-05 0 3798
23.2380 0.0040 77.4000 0.0059 0.0026 210 1.9215 -0.5 -0.8660254037844388 -0.4999999999999998 3.432006944444445e-05 6.868767361111112e-06 1 3803
23.2300 0.1620 78.1000 0.0037 0.0020 262 1.9215 -0.5 -0.13917310096006583 -0.9902680687415703 1.3577177854938273e-05 3.835069444444444e-06 1 3804
23.2410 -0.4820 61.8000 0.0023 0.0020 109 1.2151 -0.5 -0.32556815445715664 0.9455185755993168 5.483402777777776e-06 4.162733410493826e-06 0 3806
23.2550 0.0180 77.4000 0.0047 0.0023 158 1.9215 -0.5 -0.9271838545667873 0.37460659341591224 2.197265625e-05 5.2199556327160495e-06 1 3809
23.2550 0.1030 76.7000 0.0019 0.0015 190 1.7638 -0.5 -0.9848077530122081 -0.17364817766693003 3.6576562499999996e-06 2.3511111111111104e-06 0 3811
23.2680 0.0770 78.2000 0.0030 0.0027 176 1.8132 -0.5 -0.9975640502598242 0.06975647374412552 9e-06 7.448350694444444e-06 0 3815
23.2710 -0.3580 75.6000 0.0075 0.0050 116 4.6437 -0.5 -0.4383711467890775 0.8987940462991669 5.6083456790123466e-05 2.4833611111111115e-05 0 3816
23.2860 -0.2070 79.2000 0.0080 0.0044 154 2.1876 -0.5 -0.8987940462991668 0.4383711467890777 6.406668402777777e-05 1.897086419753086e-05 0 3818
23.3020 0.0530 55.0000 0.0052 0.0032 164 1.5165 -0.5 -0.9612616959383189 0.2756373558169992 2.719912229938271e-05 1.0133611111111113e-05 0 3822
23.3160 -0.0610 97.5000 0.0035 0.0030 234 1.9215 -0.5 -0.5877852522924732 -0.8090169943749473 1.211426697530864e-05 8.8093537808642e-06 1 3828
